Name,Categories,Address,City,State,Postcode,Phone,Fax,Latitude,Longitude,Employees,Established,ABN_Status,ABN,ABN_Name,Accuracy,ABN_2,ACN
YMCA Outside School Hours Care,Child Care Centres,Lecke St,Kedron,QLD,4031,(07) 3350 5333,,-27.4069227,153.0326193,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,1678 Sandgate Rd,Virginia,QLD,4014,(07) 3266 3159,,-27.383005,153.062374,,,Active,75 092 818 445,Business Name,25%,,
Yankalilla Community Childrens Centre,Child Care Centres,208- 210 Main South Rd,Yankalilla,SA,5203,(08) 8558 2387,,-35.45389,138.33207,,,Active,72 289 769 629,Entity Name,25%,59 834 374 934,
World of Learning,Child Care Centres,57 Salisbury Crst,Colonel Light Gardens,SA,5041,(08) 8272 9399,,-34.978603,138.598557,,,Active,63 123 390 572,Entity Name,25%,,
Woodville Day Nursery & Kindergarten,Child Care Centres,78 Findon Rd,Woodville West,SA,5011,(08) 8445 9869,,-34.88526,138.53078,Nov-20,1962,Active,53 535 135 905,Trading Name,25%,,
Woodleigh Loxton District Children's Centre,Child Care Centres,11 Tobruk Tce,Loxton,SA,5333,(08) 8584 6501,,-34.457422,140.573053,,,Active,13 216 839 961,Trading Name,25%,13 216 839 961,
Woodend Primary School OSHC/Vac,Child Care Centres,0 Edward Beck Dr,Sheidow Park,SA,5158,(08) 8322 8291,,-35.0795,138.53585,,,Active,93 906 726 689,Entity Name,25%,,
Wongan Cubbyhouse,Child Care Centres,3 Stickland St,Wongan Hills,WA,6603,(08) 9671 1811,,-30.890359,116.718139,,,Active,51 179 890 292,Entity Name,25%,,
Wilston State School Outside School Hours Care,Child Care Centres,Primrose St,Grange,QLD,4051,(07) 3352 6753,,-27.428793,153.013505,,,Active,22 187 738 662,Entity Name,25%,,
Willoughby Kids House,Child Care Centres,31 Penshurst St,Willoughby,NSW,2068,(02) 9958 0913,,-33.80246,151.19872,,,Active,51 506 392 042,Entity Name,25%,,
Whyalla Road Safety Centre Inc,Child Care Centres,Billing St,Whyalla Playford,SA,5600,(08) 8644 0070,,-33.033738,137.55838,,,Active,80 602 845 703,Entity Name,25%,,
Whitsunday Shire Family Day Care,Child Care Centres,18B Chapman St,Proserpine,QLD,4800,(07) 4945 2422,,-20.40088,148.583,,,Active,39 485 148 334,Entity Name,25%,,
Westminster Early Learning Centre,Child Care Centres,46388 Alison Ave,Marion,SA,5043,(08) 8276 0293,,-35.00325,138.553746,,,Active,37 276 356 812,Business Name,25%,,
West Hawthorn Early Childhood Centre,Child Care Centres,63 Church,Hawthorn,VIC,3122,(03) 9818 0670,,-37.815416,145.02161,,,Active,42 780 878 985,Entity Name,25%,,
Wattle Glen Primary School - After School Care,Child Care Centres,Cnr Reynolds Rd and Sunnyside Crs,Wattle Glen,VIC,3096,(03) 9438 5117,,-37.669192,145.183105,,,Active,56 707 623 188,Entity Name,25%,,
Wattle Glen Primary,Child Care Centres,Cnr Reynolds Rd and Sunnyside Crs,Wattle Glen,VIC,3096,(03) 9438 1259,,-37.669192,145.183105,,,Active,56 707 623 188,Entity Name,25%,,
Warradale Community Children's Centre,Child Care Centres,1A Duncan Ave,Park Holme,SA,5043,(08) 8277 0530,,-34.991124,138.556381,,,Active,29 921 783 854,Entity Name,25%,29 921 783 854,
Wanslea Family Services Inc,Child Care Centres,37A Walmsley St,Esperance,WA,6450,(08) 9843 0077,,-33.833332,121.915147,,,Active,36 660 171 727,Trading Name,25%,,
Wanslea Family Services Inc,Child Care Centres,1 Marmion St,Mt Barker,WA,6324,(08) 9898 5585,,-34.62382,117.65389,,,Active,36 660 171 727,Trading Name,25%,,
Wanslea Early Learning and Development,Child Care Centres,44 McCombe Ave,Samson,WA,6163,(08) 6143 5383,,-32.071685,115.800733,,,Active,35 530 687 121,Entity Name,25%,,
Wanslea Early Learning and Development,Child Care Centres,70 Jenkin St,Beaconsfield,WA,6162,(08) 6143 5381,,-32.068307,115.758907,,,Active,35 530 687 121,Entity Name,25%,,
Walkerville Primary School OSHC/Vac,Child Care Centres,159 Stephen Tce,Walkerville,SA,5081,(08) 8344 1261,,-34.894732,138.612118,,,Active,82 009 652 812,Entity Name,25%,,
Waikerie Primary School OSHC/Vac,Child Care Centres,23 Coombe Tce,Waikerie,SA,5330,0419 845 451,,-34.181138,139.981008,,,Active,50 915 844 537,Entity Name,25%,,
Waikerie Childrens Centre Inc,Child Care Centres,16 Marks Tce,Waikerie,SA,5330,(08) 8541 2692,,-34.178082,139.978863,,,Active,44 742 319 209,Entity Name,25%,,
Village Kids Childrens Centre,Child Care Centres,56 Bergin Rd,Cranbrook,QLD,4814,(07) 4729 4444,,-19.307931,146.756231,,,Active,98 604 704 949,Entity Name,25%,,
Village Child Care Centre,Child Care Centres,17 Mclachlan Ave,Mudgeeraba,QLD,4213,(07) 5522 7177,(07) 5522 7577,-28.082662,153.35635,,,Active,38 114 234 150,Entity Name,25%,,
Vale Park Primary School OSHC/Vac,Child Care Centres,40-56 Ascot Ave,Vale Park,SA,5081,(08) 8266 0439,,-34.885311,138.626594,,,Active,34 520 137 131,Entity Name,25%,,
Vacca,Child Care Centres,Level 2 1-7 Langhorne St,Dandenong,VIC,3175,(03) 9108 3500,,-37.986459,145.215233,,,Active,87 493 656 903,Entity Name,25%,,
Upper Macleay Pre-School,Child Care Centres,77 Main St,Willawarrin,NSW,2440,(02) 6567 1491,,-30.926335,152.625877,,,Active,49 686 205 639,Entity Name,25%,,
Upper Beaconsfield Community Centre Creche,Child Care Centres,10- 12 Salisbury Rd,Beaconsfield Upper,VIC,3808,(03) 5944 3484,,-38.00501,145.41163,,,Active,86 016 259 616,Entity Name,25%,,
Uniting Church Childcare Centre,Child Care Centres,,Gympie,QLD,4570,(07) 5482 2186,(07) 5483 2537,-26.1904157,152.6658377,,,Active,58 809 015 757,Entity Name,25%,13 276 995 038,
Unique Unicorns,Child Care Centres,16 Blackhawk Blv,Thuringowa Central,QLD,4817,(07) 4723 3735,,-19.321514,146.71985,,,Active,86 104 355 286,Business Name,25%,,
Treetops Early Learning Centres,Child Care Centres,Ground Floor 84 North Tce,Kent Town,SA,5067,(08) 8100 3900,,-34.916479,138.621919,,,Active,38 125 616 793,Entity Name,25%,,
Tree House Child Care,Child Care Centres,53 Church St,Geelong West,VIC,3218,(03) 5277 0204,,-38.132157,144.345966,,,Active,89 893 634 874,Other Name,25%,,
Tree House Child Care,Child Care Centres,418 Murray Rd,Preston,VIC,3072,(03) 9471 1115,,-37.736891,144.997288,,,Active,89 893 634 874,Other Name,25%,,
Treasured Tots Child Care,Child Care Centres,69 Hampton Rd,Fremantle,WA,6160,(08) 6219 5465,,-32.060293,115.755899,,,Active,76 147 554 194,Entity Name,25%,,
Treasure Island Child Care Centre,Child Care Centres,30 Cecil Ave,Cannington,WA,6107,(08) 9451 9451,,-32.015195,115.938796,,,Active,45 425 975 350,Entity Name,25%,,
ToyBox International,Child Care Centres,Level 1 9 Frobisher St,Osborne Park,WA,6017,(08) 9380 9733,,-31.912737,115.819064,,,Active,58 674 539 061,Entity Name,25%,,
Townsville Children's Day Centre Association,Child Care Centres,23 Kennedy St,North Ward,QLD,4810,(07) 4771 3893,,-19.250988,146.81066,,,Active,75 352 567 431,Trading Name,25%,,
Townsville Babysitters,Child Care Centres,,Townsville,QLD,4810,0417 774 564,,-19.2576223,146.8178787,,,Active,75 352 567 431,Trading Name,25%,,
Totom House,Child Care Centres,Cnr Maribyrnong Ave and Georgina Crs,Kaleen,ACT,2617,(02) 6241 5672,,-35.219251,149.103478,,,Active,59 189 348 557,Entity Name,25%,,
Torrens Road Community Child Care Centre Caboolture,Child Care Centres,10A Torrens Rd,Caboolture,QLD,4510,(07) 5495 6277,,-27.097168,152.947544,,,Active,14 058 693 514,Trading Name,25%,,
Top End Early Learning Centre Inc,Child Care Centres,"R D H Campus, Rocklands Drive,",Tiwi,NT,810,(08) 8927 9259,,-12.362884,130.873239,,,Active,49 025 477 153,Entity Name,25%,,
Tiny Tiger Early Learning Centre,Child Care Centres,18 Pine St,Runcorn,QLD,4113,(07) 3841 0633,,-27.59351,153.07949,,,Active,46 146 729 053,Entity Name,25%,,
Timber Tots Child Care,Child Care Centres,Mount St,Manjimup,WA,6258,(08) 9777 2044,,-34.241526,116.146384,,,Active,34 164 960 927,Entity Name,25%,,
Tilbrook Child Care Centre,Child Care Centres,56 Hampton St South,Goodwood,SA,5034,(08) 8272 8480,,-34.951702,138.587998,,,Active,43 809 513 630,Entity Name,25%,,
Tilbrook Child Care Centre,Child Care Centres,56 Hampton St,Goodwood,SA,5034,(08) 8272 8480,,-34.951702,138.587998,,,Active,43 809 513 630,Entity Name,25%,,
Through Road Child Care Association Inc,Child Care Centres,171 Through Rd,Camberwell,VIC,3124,(03) 9830 4643,,-37.836377,145.093545,,,Active,19 346 712 348,Entity Name,25%,,
The Pines Community Children's Centre,Child Care Centres,14 Hemming St,Parafield Gardens,SA,5107,(08) 8250 7010,,-34.772946,138.608604,,,Active,16 597 502 375,Entity Name,25%,,
The Park School For Early Learning,Child Care Centres,37 Brindabella Cct,Canberra Airport,ACT,2609,(02) 6161 9331,,-35.311138,149.187726,,,Active,99 070 946 922,Business Name,25%,,
The Merrell Kindergarten,Child Care Centres,92 Maud St,Balwyn North,VIC,3104,(03) 9859 1259,,-37.795972,145.075691,,,Active,88 653 361 259,Entity Name,25%,,
The Kidz X-Press,Child Care Centres,"Cnr Queen and Waterloo Sts, 149 Queen Street,",Cleveland,QLD,4163,(07) 3821 3511,(07) 3821 2094,-27.527832,153.264621,1-Oct,1995,Active,19 062 373 906,Business Name,25%,19 062 373 906,
The Imagination Play Station,Child Care Centres,60 Burdekin Avenue,Amaroo,ACT,2914,(02) 6121 4507,,-35.168261,149.123463,21-50,,Active,73 340 950 909,Trading Name,25%,73 340 950 909,
The Gums Childcare Centre,Child Care Centres,Lot 11 Maynard Rd,Clare,SA,5453,(08) 8842 1249,,-33.850837,138.621023,,,Active,24 114 059 639,Entity Name,25%,,
The Gowrie (Qld) Inc,Child Care Centres,228 St Pauls Tce,Fortitude Valley,QLD,4006,(07) 3257 7949,,-27.457745,153.029357,,1940,Active,12 226 452 826,Entity Name,25%,,
The Essington Early Childhood Centre,Child Care Centres,31 Cummins St,Rapid Creek,NT,810,(08) 8985 3861,(08) 8948 1901,-12.385099,130.858507,,,Active,33 105 568 018,Entity Name,25%,,
The Brook Early Education and Care,Child Care Centres,19 Suez St,Gordon Park,QLD,4031,(07) 3357 2332,,-27.413873,153.033781,,,Active,38 610 447 526,Entity Name,25%,,
Territory Child Care Group,Child Care Centres,1/10 Mel Rd,Berrimah,NT,828,(08) 8920 0600,(08) 8920 0622,-12.440832,130.919891,,1977,Active,83 691 439 029,Entity Name,25%,83 691 439 029,
Territory Child Care Group,Child Care Centres,,Casuarina,NT,812,(08) 8920 0600,(08) 8920 0622,-12.3756503,130.8822128,,,Active,83 691 439 029,Entity Name,25%,,
Tenison Woods College Early Learning & Community Centre,Child Care Centres,Cnr Shepherdson Rd and White Ave,Mt Gambier,SA,5290,(08) 8724 4656,,-37.827229,140.754571,,,Active,25 508 850 572,Entity Name,25%,,
Tasmanian Regional Arts,Child Care Centres,George St,Latrobe,TAS,7307,(03) 6426 2344,,-41.236672,146.419328,,,Active,24 292 916 836,Entity Name,25%,,
Tailem Bend Kindergarten Occasional Care Programs,Child Care Centres,49 Trevena Rd,Tailem Bend,SA,5260,(08) 8572 3348,,-35.252388,139.456847,,,Active,70 487 361 226,Entity Name,25%,,
Taigum Kids Early Learning Centre,Child Care Centres,263 Handford Rd,Taigum,QLD,4018,(07) 3865 8234,,-27.347737,153.042022,,2007,Active,32 687 945 788,Business Name,25%,,
Tadpoles Early Learning Centres,Child Care Centres,10 Main St,Narangba,QLD,4504,(07) 3886 6578,,-27.20459,152.96122,,,Active,37 163 864 195,Business Name,25%,,
Tadpoles Early Learning Centres,Child Care Centres,215 Church Rd,Taigum,QLD,4018,(07) 3865 2677,,-27.349859,153.046371,,,Active,37 163 864 195,Business Name,25%,,
Swan Hill Christian Centre,Child Care Centres,Murray Valley Hwy,Swan Hill,VIC,3585,(03) 5032 4107,,-35.330724,143.554777,,,Active,72 534 746 143,Entity Name,25%,,
Surrey Downs Community Childrens Centre,Child Care Centres,76 Illyarrie Ave,Surrey Downs,SA,5126,(08) 8289 0100,,-34.80158,138.710466,,,Active,43 069 786 826,Entity Name,25%,,
SuperKidz,Child Care Centres,10 Mead Pl,Calamvale,QLD,4116,0400 525 867,,-27.619797,153.035563,,,Active,52 642 416 810,Business Name,25%,,
Sunshine Special Developmental S,Child Care Centres,Mailey St,Sunshine West,VIC,3020,(03) 9311 1393,,-37.791844,144.815555,,,Active,74 157 241 288,Entity Name,25%,,
Sunnybank Child Care Centre,Child Care Centres,357 Beenleigh Rd,Sunnybank,QLD,4109,1300 783 880,,-27.58158,153.04742,,,Active,77 656 171 700,Entity Name,25%,,
Sunny Hills Child Care & Education Centres,Child Care Centres,101 Borella Rd,Sunnybank Hills,QLD,4109,(07) 3345 5500,,-27.594534,153.054219,,,Active,40 531 089 821,Trading Name,25%,,
Sunny Hills Child Care & Education Centres,Child Care Centres,116 Borella Rd,Sunnybank Hills,QLD,4109,(07) 3344 6111,,-27.593516,153.053894,,,Active,40 531 089 821,Trading Name,25%,,
Sunkids,Child Care Centres,7 Leonard St,Yamanto,QLD,4305,(07) 3288 0044,,-27.657027,152.746459,,,Active,14 603 413 378,Entity Name,25%,,
Sunkids,Child Care Centres,22 Bourton Rd,Merrimac,QLD,4226,(07) 5522 7441,,-28.05196,153.36,,,Active,14 603 413 378,Entity Name,25%,,
Sunkids,Child Care Centres,8 Executive Dr,Burleigh Waters,QLD,4220,(07) 5522 1556,,-28.09881,153.42285,,,Active,14 603 413 378,Entity Name,25%,,
Sunkids,Child Care Centres,Lot 2 Gemvale Rd,Mudgeeraba,QLD,4213,(07) 5559 2311,,-28.099942,153.400221,,,Active,14 603 413 378,Entity Name,25%,,
Sunkids,Child Care Centres,70 Wellington St,Ormiston,QLD,4160,(07) 3286 2900,,-27.51678,153.25594,,,Active,14 603 413 378,Entity Name,25%,,
Sunkids,Child Care Centres,184 Springwood Rd,Springwood,QLD,4127,(07) 3808 9100,,-27.61064,153.13488,,,Active,14 603 413 378,Entity Name,25%,,
Sunkids,Child Care Centres,48-54 Middle Rd,Hillcrest,QLD,4118,(07) 3800 4444,,-27.67557,153.02705,,,Active,14 603 413 378,Entity Name,25%,,
Sunkids,Child Care Centres,161 Muller Rd,Boondall,QLD,4034,(07) 3265 6130,,-27.34916,153.05356,,,Active,14 603 413 378,Entity Name,25%,,
Sunkids,Child Care Centres,466 Sayers Rd,Tarneit,VIC,3029,(03) 9749 1488,,-37.84912,144.69899,,,Active,14 603 413 378,Entity Name,25%,,
Stepping Stones,Child Care Centres,22 Wormald St,Symonston,ACT,2609,(02) 6228 1544,,-35.335654,149.164918,,2006,Active,99 008 421 305,Entity Name,25%,,
St Pius X OSHC/Vac,Child Care Centres,8 Windsor Gr,Windsor Gardens,SA,5087,(08) 8369 1489,,-34.868649,138.643112,,,Active,58 678 038 374,Trading Name,25%,,
St Paul & St Anthony Child Care Centre,Child Care Centres,23 Crossland St,Merrylands,NSW,2160,(02) 9681 6124,,-33.847259,151.003305,,,Active,26 077 282 814,Entity Name,25%,,
St Patricks Villa,Child Care Centres,Carlton Hill Rd,Gympie,QLD,4570,(07) 5482 9144,,-26.195461,152.674237,,,Active,53 932 663 240,Entity Name,25%,,
St Morris Community Child Care Centre,Child Care Centres,64 Gage St,St Morris,SA,5068,(08) 8332 3999,,-34.909334,138.651465,,,Active,52 184 968 505,Entity Name,25%,,
St Mel's Outside School Hours,Child Care Centres,35 Hamilton St,Shepparton,VIC,3630,0438 213 163,,-36.391807,145.409832,,,Active,71 713 675 937,Entity Name,25%,,
St Linus' Anglican Kindergarten,Child Care Centres,13 Delta Ave,Merlynston,VIC,3058,(03) 9354 6276,,-37.721599,144.959351,,,Active,18 634 634 107,Entity Name,25%,,
St David's Parish School Care,Child Care Centres,0 Milne Rd,Tea Tree Gully,SA,5091,(08) 8360 6330,,-34.816214,138.725414,,,Active,35 121 562 244,Entity Name,25%,,
St Columba College OSHC/Vac,Child Care Centres,0 President Ave,Andrews Farm,SA,5114,(08) 8254 0600,,-34.670415,138.666319,,,Active,40 836 371 602,Trading Name,25%,,
St Albans East Preschool,Child Care Centres,"Cnr Harmon and Station Avenues,",St Albans,VIC,3021,(03) 9366 4830,,-37.743143,144.817145,,,Active,93 568 231 065,Entity Name,25%,,
Spring bay Child Care Centre,Child Care Centres,36 Melbourne St,Triabunna,TAS,7190,(03) 6257 3598,,-42.504792,147.911809,,,Active,53 669 199 388,Entity Name,25%,,
Spraoi Child Care,Child Care Centres,110 Wilson St,Burnie,TAS,7320,(03) 6431 8242,,-41.05478,145.90559,1-Oct,2010,Active,43 146 596 205,Entity Name,25%,,
Sparrow Group Management,Child Care Centres,2/ 44 Borthwick Ave,Murarrie,QLD,4172,(07) 3395 5555,,-27.454121,153.104713,,,Active,14 602 534 976,Entity Name,25%,,
Sparrow Early Learning,Child Care Centres,53 Bestmann Rd East,Sandstone Point,QLD,4511,(07) 5429 5768,,-27.078053,153.138821,,,Active,29 600 354 443,Entity Name,25%,,
Southside Family Day Care,Child Care Centres,Boolimba Crst,Narrabundah,ACT,2604,(02) 6295 9487,,-35.332034,149.152225,,,Active,71 808 410 271,Business Name,25%,,
Southern Barossa Community Child Care Inc,Child Care Centres,Lot 1/ Lyndoch Valley Rd,Lyndoch,SA,5351,,,-34.60167,138.89136,,2008,Active,97 350 031 619,Entity Name,25%,,
Southern Barossa Community Child Care,Child Care Centres,200 Lyndoch Valley Rd,Lyndoch,SA,5351,(08) 8524 5395,,-34.619466,138.892996,,,Active,97 350 031 619,Entity Name,25%,,
South Lake Child Care Centre,Child Care Centres,2 South Lake Dr,South Lake,WA,6164,(08) 9417 7080,(08) 9417 7994,-32.110533,115.838489,Nov-20,1988,Active,72 098 540 132,Trading Name,25%,,
Smarties Early Learning Centre,Child Care Centres,10 Lawrence St,Peakhurst,NSW,2210,(02) 8515 0888,,-33.958605,151.054437,,,Active,28 604 410 924,Entity Name,25%,,
Smarter Kids,Child Care Centres,17 Cobai Dr,Mudgeeraba,QLD,4213,(07) 5530 5563,,-28.079237,153.363284,,,Active,90 103 487 805,Business Name,25%,,
Sebastopol Community Centre,Child Care Centres,Yarrowee St,Sebastopol,VIC,3356,(03) 5335 8354,,-37.598828,143.83673,,,Active,41 881 249 677,Entity Name,25%,,
Seaton Community Childrens Centre Inc,Child Care Centres,37 Glenburnie St,Seaton,SA,5023,(08) 8347 1839,(08) 8244 9660,-34.885083,138.508294,Nov-20,,Active,80 717 548 674,Entity Name,25%,80 717 548 674,
SEATON COMMUNITY CHILDRENS CENTRE,Child Care Centres,Seaton Child Care 37 Glenburnie St,Seaton,SA,5023,(08) 8347 1839,,-34.885083,138.508294,,,Active,80 717 548 674,Entity Name,25%,,
Seaholme Kindergarten,Child Care Centres,2 Parkside Crst,Seaholme,VIC,3018,(03) 9398 1216,,-37.865724,144.844288,,,Active,41 283 510 809,Entity Name,25%,,
SDN Children's Services Inc,Child Care Centres,44 College St,Belconnen,ACT,2617,(02) 6253 2332,,-35.242674,149.072144,,,Active,23 000 014 335,DGR Name,25%,,
SDN Children's Services Inc,Child Care Centres,1 Melaleuca Crst,Catalina,NSW,2536,(02) 4472 4490,,-35.73418,150.19349,,,Active,23 000 014 335,DGR Name,25%,,
SDN Children's Services Inc,Child Care Centres,3 Lintherpe St,Newtown,NSW,2042,(02) 9557 3121,,-33.897271,151.181338,,,Active,23 000 014 335,DGR Name,25%,,
Scottsdale Child Care Centre,Child Care Centres,Mary St,Scottsdale,TAS,7260,(03) 6352 4484,,-41.163454,147.508809,,,Active,97 657 433 721,Other Name,25%,,
Samantha's Child Care Centre & Kindergarten,Child Care Centres,190 Burke Rd,Glen Iris,VIC,3146,(03) 9885 6474,,-37.85963,145.05175,,,Active,68 079 009 091,Business Name,25%,,
SA Little Athletics Association,Child Care Centres,Railway Tce,Mile End,SA,5031,(08) 8352 8133,,-34.927461,138.577263,,,Active,98 488 530 830,Trading Name,25%,,
Rossi Child Care Centre,Child Care Centres,"252 Beechboro Road North,",Morley,WA,6062,(08) 9279 4955,,-31.89421,115.92465,,,Active,61 122 972 614,Entity Name,25%,,
Rosemont House Montessori,Child Care Centres,59 Kensington Rd,Norwood,SA,5067,(08) 8331 4020,,-34.927268,138.628353,,,Active,88 600 967 575,Entity Name,25%,,
Rosanna Fire Station Community House,Child Care Centres,232 Lower Plenty Rd,Rosanna,VIC,3084,(03) 9458 1935,,-37.738564,145.072553,,,Active,55 460 279 116,Entity Name,25%,,
Robina Town Child Care Centre,Child Care Centres,39 Thorngate Dr,Robina,QLD,4226,(07) 5578 7453,,-28.069248,153.391266,,,Active,98 164 222 888,Business Name,25%,,
Risdon Vale Neighbourhood Centre,Child Care Centres,28 Sugarloaf Rd,Risdon Vale,TAS,7016,(03) 6243 5752,,-42.812314,147.351515,,,Active,33 320 413 752,Entity Name,25%,,
Ridgehaven Primary School OSHC/Vac,Child Care Centres,0 Milne Rd,Ridgehaven,SA,5097,(08) 8396 3327,,-34.816433,138.710771,,,Active,91 409 107 425,Entity Name,25%,,
Richmond Multicultural Children's Centre,Child Care Centres,16 Gleadell St,Richmond,VIC,3121,(03) 9428 6537,,-37.817488,145.001707,,,Active,75 760 398 872,Entity Name,25%,,
Research Primary School Aged Care,Child Care Centres,Main Rd,Research,VIC,3095,(03) 9437 1967,,-37.701567,145.186645,,,Active,73 849 976 698,Entity Name,25%,,
Reid Early Childhood Centre,Child Care Centres,27 Amaroo St,Reid,ACT,2612,,,-35.285925,149.137638,,,Active,23 176 580 350,Entity Name,25%,,
Rangeville State School After,Child Care Centres,32 High St,Rangeville,QLD,4350,(07) 4635 0061,,-27.583374,151.979949,,,Active,26 788 213 388,Entity Name,25%,,
Rainbow Town Child Care Centre,Child Care Centres,186 Robina Town Centre Dr,Robina,QLD,4226,(07) 5578 7444,,-28.077401,153.382335,,1997,Active,42 899 504 069,Entity Name,25%,,
Rainbow Cottage Early Childhood Centre,Child Care Centres,29 Rae St,Belconnen,ACT,2617,(02) 6251 6608,(02) 6251 6608,-35.236432,149.062,,,Active,55 084 714 629,Entity Name,25%,,
QCWA,Child Care Centres,Victoria St,Stanthorpe,QLD,4380,(07) 4681 1661,,-28.656745,151.933951,,,Active,63 158 535 970,Trading Name,25%,,
Puppet Pals Genuine Multicultural Resources,Child Care Centres,2 Kendall Cl,Templestowe,VIC,3106,(03) 9846 4258,,-37.763217,145.157372,,,Active,63 995 216 096,Business Name,25%,,
Prince Alfred College Early Lrng Ctr,Child Care Centres,0 Pirie St,Kent Town,SA,5067,(08) 8334 1258,,-34.922814,138.620106,,,Active,23 539 290 973,Entity Name,25%,,
Preschool Centre,Child Care Centres,35 Sherwood Rd,Mt Waverley,VIC,3149,(03) 9807 2167,,-37.878838,145.127613,,,Active,30 275 694 319,Trading Name,25%,,
Precious Cargo,Child Care Centres,,Harrogate,SA,5244,(08) 8130 6699,,-34.9508426,139.0152917,,,Active,92 624 905 022,Entity Name,25%,,
Precious Cargo,Child Care Centres,3 Fisher St,Myrtle Bank,SA,5064,(08) 8130 6699,,-34.956829,138.637521,,,Active,92 624 905 022,Entity Name,25%,,
Possum Magic Day Care Centre,Child Care Centres,27 Astrolabe St,Red Hill,ACT,2603,(02) 6239 4863,,-35.337588,149.132219,1-Oct,1989,Active,69 099 417 062,Trading Name,25%,,
Port Sorell Primary,Child Care Centres,,Port Sorell,TAS,7307,0429 110 333,,-41.1665511,146.5484231,,,Active,53 742 622 762,Entity Name,25%,,
Port Community Arts Centre,Child Care Centres,66 Commercial Rd,Port Adelaide,SA,5015,(08) 8341 2430,,-34.844139,138.504776,,,Active,56 424 967 705,Entity Name,25%,,
Play's Kool,Child Care Centres,82 Brookdale St,Floreat,WA,6014,(08) 9383 7393,,-31.945965,115.792182,,,Active,80 116 926 238,Trading Name,25%,,
Pinocchio Early Learning Centre,Child Care Centres,9 Rosevear Pl,Dickson,ACT,2602,(02) 6162 1131,,-35.250075,149.144176,,,Active,73 127 385 175,Entity Name,25%,,
Pines Community Children's Centre,Child Care Centres,14 Hemming St,Parafield Gardens,SA,5107,(08) 8250 7010,,-34.772946,138.608604,,,Active,16 597 502 375,Entity Name,25%,,
Pied Piper Toy Library,Child Care Centres,7 Samarinda Ave,Ashburton,VIC,3147,(03) 9885 2052,,-37.865587,145.085092,,,Active,71 093 426 014,Entity Name,25%,,
Pied Piper Child Care,Child Care Centres,14 Aloha Gdns,Templestowe,VIC,3106,(03) 9841 7400,,-37.762771,145.156826,,,Active,45 043 383 611,Other Name,25%,,
Peppercorn Child Care Centre,Child Care Centres,36 Leichhardt St,Dubbo,NSW,2830,(02) 6882 4596,(02) 6885 0007,-32.24,148.64,1-Oct,1994,Active,41 602 298 216,Trading Name,25%,41 602 298 216,
Pecks Road Early Learning & Kinder,Child Care Centres,97 Pecks Rd,Sydenham,VIC,3037,(03) 8390 9052,,-37.704758,144.768352,,,Active,87 961 887 134,Business Name,25%,,
