Category,Name,Address,Suburb,State,Postcode,CombinedAddress,Latitude,Longitude,Fax,Email,Website,Staff,Established,ABN,ABN_Status,ABN_Type,ABN_Accuracy
Religious Organisations,Chinese Christian Association of Australia,1027 Whitehorse Rd,Box Hill,VIC,3128,1027 Whitehorse Rd.Box Hill.VIC.3128,-37.8181004,145.1263285,,,,,,22 613 345 483,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Chinese Christian Church Of Victoria Inc,67 Springvale Rd,Nunawading,VIC,3131,67 Springvale Rd.Nunawading.VIC.3131,-37.8126847,145.1775964,,,,,,70 972 235 132,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Christian & Missionary Alliance,Cnr Montague Rd and Dwight St,Modbury,SA,5092,Cnr Montague Rd and Dwight St.Modbury.SA.5092,-34.8291501,138.6692218,,,,,,72 368 044 741,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Church Of Jesus Christ Of Latter Day Saints,Ollerton Ave,Newborough,VIC,3825,Ollerton Ave.Newborough.VIC.3825,-38.1800015,146.2814781,,,,,,87 586 411 904,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Church Of Jesus Christ Of Latter-Day-Saints,628 Canterbury Rd,Mitcham,VIC,3132,628 Canterbury Rd.Mitcham.VIC.3132,-37.8361211,145.1964198,,,,,,87 586 411 904,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Church On the Rock,180-184 Bathurst St,Hobart,TAS,7000,180-184 Bathurst St.Hobart.TAS.7000,-42.8843097,147.3214285,,,,,,15 629 317 950,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Churches Commission on Education,272 Selby St,Wembley,WA,6014,272 Selby St.Wembley.WA.6014,-31.9318006,115.8044806,,,,,,70 172 899 396,Active,Entity Name,25% ABN Accuracy
Religious Organisations,City on a Hill: Melbourne,Level 3/ 211 La Trobe St,Melbourne,VIC,3000,Level 3/ 211 La Trobe St.Melbourne.VIC.3000,-37.8105556,144.9630556,,info@cityonahill.com.au,http://www.cityonahill.com.au,,,43 292 063 559,Active,Entity Name,25% ABN Accuracy
Religious Organisations,City Revival Ministries,44 Memorial Dr,Noble Park,VIC,3174,44 Memorial Dr.Noble Park.VIC.3174,-37.9597912,145.1718323,,josehnry@gmail.com,http://www.cityrevivalministries.org,,,52 052 772 552,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Council For Christian Education,Level 5/ 695 Burke Rd,Camberwell,VIC,3124,Level 5/ 695 Burke Rd.Camberwell.VIC.3124,-37.8321817,145.0560992,,,,,,43 139 580 746,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Dallas Welfare & Youth Services Inc,26 Millewa Crst,Dallas,VIC,3047,26 Millewa Crst.Dallas.VIC.3047,-37.6741504,144.9291091,,,,,,39 851 031 355,Active,Entity Name,25% ABN Accuracy
Religious Organisations,David Glory Group,Level 50 101 Collins St,Melbourne,VIC,3000,Level 50 101 Collins St.Melbourne.VIC.3000,-37.814531,144.9702911,,,,,,38 060 005 076,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Federation Of Australian Buddhist Councils,,Footscray West,VIC,3012,.Footscray West.VIC.3012,-37.8006709,144.8716645,,,www.buddhistcouncil.org.au,,,65 862 613 089,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Freedom Church,8 Kaloorup Rd,Vasse,WA,6280,8 Kaloorup Rd.Vasse.WA.6280,-33.6781936,115.248358,,thomasgcooper@hotmail.com,http://www.freedomchurchsouthwest.com,,,89 332 704 878,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Grace Lutheran Church,15 Wembley Ave,Bridgewater,SA,5155,15 Wembley Ave.Bridgewater.SA.5155,-35.0104747,138.7557614,,,,,,63 176 797 960,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Hamilton Hill Bible Church,56-60 Redmond Rd,Hamilton Hill,WA,6163,56-60 Redmond Rd.Hamilton Hill.WA.6163,-32.081821,115.790272,,,,,,53 415 231 227,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Hare Krishna Movement,197 Danks St,Albert Park,VIC,3206,197 Danks St.Albert Park.VIC.3206,-37.8480757,144.953967,,,,,,53 390 638 202,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Holy Spirit Catholic Church,147 Seperation St,Bell Park,VIC,3215,147 Seperation St.Bell Park.VIC.3215,-38.1107036,144.338389,,,,,,60 144 969 790,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Initiatives of Change,226 Kooyong Rd,Toorak,VIC,3142,226 Kooyong Rd.Toorak.VIC.3142,-37.840517,145.023803,,,,,,22 004 350 789,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Interserve (Australia),28 Croydon Rd,Keswick,SA,5035,28 Croydon Rd.Keswick.SA.5035,-34.9441072,138.577971,,,,,,12 041 298 204,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Islamic Co-Ordinating Council of Victoria,155 Lygon St,Brunswick East,VIC,3057,155 Lygon St.Brunswick East.VIC.3057,-37.7732882,144.9710576,,,,,,60 284 069 184,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Islamic Society of Melbourne Eastern Region,1273 Wellington Rd,Lysterfield,VIC,3156,1273 Wellington Rd.Lysterfield.VIC.3156,-37.927981,145.2709794,,,,,,36 974 270 612,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Jewish Learning Centre,338 Greenhill Rd,Glenside,SA,5065,338 Greenhill Rd.Glenside.SA.5065,-34.9397275,138.6384435,,,,,,58 075 310 575,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Jewish National Fund,61 Woodrow Ave,Yokine,WA,6060,61 Woodrow Ave.Yokine.WA.6060,-31.9007739,115.8628216,,,,,,32 108 796 878,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Kagyu E-Vam Buddhist Institute,673 Lygon St,Carlton North,VIC,3054,673 Lygon St.Carlton North.VIC.3054,-37.780092,144.970099,,,,,,30 414 677 915,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Khesed Ministries,Latimer Way,Langford,WA,6147,Latimer Way.Langford.WA.6147,-32.0407947,115.9510007,,,,,,93 136 869 323,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Kingdomcity Perth,15 Finlay Pl,Wangara,WA,6065,15 Finlay Pl.Wangara.WA.6065,-31.7863238,115.8108606,,,Visit Our Website,,,97 787 651 869,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Knights Of The Southern Cross (S.A.) Incorporated,336 Marion Rd,North Plympton,SA,5037,336 Marion Rd.North Plympton.SA.5037,-34.9551269,138.5540121,,,,,,66 020 002 957,Active,Entity Name,25% ABN Accuracy
Religious Organisations,KPMG TRUST,Suite 11/ 1101 Hay St,West Perth,WA,6005,Suite 11/ 1101 Hay St.West Perth.WA.6005,-31.9501499,115.8456375,,info@kpmgtrust.com,http://www.kpmgtrust.com,,,43 841 587 842,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Legion Of Mary,36 Windsor St,Perth,WA,6000,36 Windsor St.Perth.WA.6000,-31.9437077,115.8742875,,,,,,48 936 250 135,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Legion Of Mary Senatus Of Melbourne,456 Queensberry St,North Melbourne,VIC,3051,456 Queensberry St.North Melbourne.VIC.3051,-37.8031233,144.9521823,,,,,,36 742 986 516,Active,Entity Name,25% ABN Accuracy
Religious Organisations,LifeWorks Relationship Counselling & Education Services,1/ 666 Mountain Hwy,Bayswater,VIC,3153,1/ 666 Mountain Hwy.Bayswater.VIC.3153,-37.8418967,145.2632585,,lifeworks@lifeworks.com.au,http://www.lifeworks.com.au,,,50 071 373 950,Active,DGR Name (Historic),25% ABN Accuracy
Religious Organisations,Lutheran Media,197 Archer St,North Adelaide,SA,5006,197 Archer St.North Adelaide.SA.5006,-34.9080978,138.5937564,,luthmedia@lca.org.au,www.lutheranmedia.org.au,,,99 476 253 356,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Melbourne Thai Buddhist Temple,489 Elgar Rd,Box Hill,VIC,3128,489 Elgar Rd.Box Hill.VIC.3128,-37.8128778,145.1154056,,,,,,85 556 874 186,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Middle East Christian Outreach,5 Court St,Box Hill,VIC,3128,5 Court St.Box Hill.VIC.3128,-37.8177215,145.12618,,,,,,59 615 943 131,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Missionary Training College,Station Rd,St Leonards,TAS,7250,Station Rd.St Leonards.TAS.7250,-41.4611119,147.1968243,,,,,,22 000 637 749,Active,Business Name (Historic),25% ABN Accuracy
Religious Organisations,MST Melbourne School of Theology,5 Burwood Hwy,Wantirna,VIC,3152,5 Burwood Hwy.Wantirna.VIC.3152,-37.8596398,145.2096094,,,,,,58 004 265 016,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Nations Church,10 Hayden Ct,Myaree,WA,6154,10 Hayden Ct.Myaree.WA.6154,-32.0444058,115.8178394,,info@nationschurch.com,http://www.nationschurch.com,,,20 739 138 976,Active,Entity Name,25% ABN Accuracy
Religious Organisations,New Life Christian Centre,105 Dyson Rd,Christies Beach,SA,5165,105 Dyson Rd.Christies Beach.SA.5165,-35.1371374,138.4857682,,,,,,37 407 781 196,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Northside Baptist Church,145 Nelson Rd,Para Vista,SA,5093,145 Nelson Rd.Para Vista.SA.5093,-34.8334689,138.6614869,,,,,1978,24 318 383 986,Active,Entity Name,25% ABN Accuracy
Religious Organisations,OAC Ministries,Dorene St,St Marys,SA,5042,Dorene St.St Marys.SA.5042,-35.0010728,138.5790411,,,,,,59 000 275 829,Active,Entity Name,25% ABN Accuracy
Religious Organisations,OAC Ministries (Aust),9 Castlemain Hts,Leeming,WA,6149,9 Castlemain Hts.Leeming.WA.6149,-32.0750517,115.8822581,,,,,,59 000 275 829,Active,Entity Name,25% ABN Accuracy
Religious Organisations,ONE Life Church,13-15 Ormsby Ave,Parafield Gardens,SA,5107,13-15 Ormsby Ave.Parafield Gardens.SA.5107,-34.7883468,138.6162197,,pastorjeff.marshall@gmail.com,http://www.gardenschurch.org,,,93 833 865 791,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Order Of St Luke The Physician In Australia,112 100 Harold St,Wantirna,VIC,3152,112 100 Harold St.Wantirna.VIC.3152,-37.853066,145.2276675,(03) 9837 5101,,,,,70 001 220 631,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Potters House Christian Centre Midland,12 Loton Ave,Midland,WA,6056,12 Loton Ave.Midland.WA.6056,-31.8930506,116.0154588,,danivee@live.com.au,www.pottershousemidland.com,,,35 214 126 727,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Presbyterian Church In Western Australia,14 Broadway St,Bassendean,WA,6054,14 Broadway St.Bassendean.WA.6054,-31.9022709,115.9452522,,,,,,88 617 816 558,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Presbyterian Church In Western Australia,,Bicton,WA,6157,.Bicton.WA.6157,-32.0299295,115.7846258,,,,,,88 617 816 558,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Reach Community Church,Unit 2 177 Beavers Rd,Northcote,VIC,3070,Unit 2 177 Beavers Rd.Northcote.VIC.3070,-37.7658312,144.9860536,,info@reachcc.org,www.reachcc.org,,,28 820 048 811,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Real Life Church,,suppressed,suppressed,,.suppressed.suppressed.,,,,rochelle@reallifechurchwa.com,http://REALLIFECHURCHWA.COM,,,65 217 939 953,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Rejoice Chinese Christian Communication Centre,Ste 7/ 2 Burwood Hwy,Burwood East,VIC,3151,Ste 7/ 2 Burwood Hwy.Burwood East.VIC.3151,-37.8523464,145.1325502,,,,,,99 027 261 737,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Revival Fellowship Warrnambool,,Warrnambool,VIC,3280,.Warrnambool.VIC.3280,-38.3720954,142.4777782,,,,,,88 541 921 783,Active,Entity Name,25% ABN Accuracy
Religious Organisations,S A Zhulin Buddhist Association,151 May Tce,Ottoway,SA,5013,151 May Tce.Ottoway.SA.5013,-34.8425836,138.5376352,,,,,,97 409 763 363,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Sai Baba Organisation,83 Glenhuntly Rd,Elwood,VIC,3184,83 Glenhuntly Rd.Elwood.VIC.3184,-37.882096,144.9831398,,,,,,98 679 526 281,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Saint Ignatius Centre,110 Elizabeth St,Richmond,VIC,3121,110 Elizabeth St.Richmond.VIC.3121,-37.8123788,144.9984558,,,,,,72 005 269 554,Active,Business Name,25% ABN Accuracy
Religious Organisations,Salesian Society,25 Lipsett Tce,Brooklyn Park,SA,5032,25 Lipsett Tce.Brooklyn Park.SA.5032,-34.9297454,138.5486225,,,,,,62 009 477 918,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Scripture Union Of Western Australia,82 Matlock St,Mt Hawthorn,WA,6016,82 Matlock St.Mt Hawthorn.WA.6016,-31.91989,115.83691,,,,,,34 474 372 309,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Scripture Union Of Western Australia,7 Irvine St,Bayswater,WA,6053,7 Irvine St.Bayswater.WA.6053,-31.9117946,115.918019,,,www.suwa.org.au,,,34 474 372 309,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Seaford Ecumenical Mission,Cnr Main and Grand Boulevard,Seaford,SA,5169,Cnr Main and Grand Boulevard.Seaford.SA.5169,-35.1853753,138.4809453,,,,,,40 683 967 385,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Seventh Day Adventist Reform Movement,14 Gilbert Rd,Somerton Park,SA,5044,14 Gilbert Rd.Somerton Park.SA.5044,-34.9929889,138.5240958,,,,,,82 496 201 901,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Social Policy Connections,34 Bedford St,Box Hill,VIC,3128,34 Bedford St.Box Hill.VIC.3128,-37.8267849,145.1321947,,admin@socialpolicyconnections.com.au,http://www.socialpolicyconnections.com.au/,,,97 387 847 085,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Society Of Christian Doctrine,4 Sandleheath Rd,Elizabeth Grove,SA,5112,4 Sandleheath Rd.Elizabeth Grove.SA.5112,-34.7371675,138.6743376,,,,,,16 479 430 975,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Society Of St Pius X,19 Tynong Rd,Tynong,VIC,3813,19 Tynong Rd.Tynong.VIC.3813,-38.083221,145.623687,,,,,,88 002 738 365,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Society Of St Pius X,40 Ludstone St,Hampton,VIC,3188,40 Ludstone St.Hampton.VIC.3188,-37.933755,145.00825,,,,,,88 002 738 365,Active,Entity Name,25% ABN Accuracy
Religious Organisations,South Eastern Christian Centre,2- 8 Gleneagles Dr,Endeavour Hills,VIC,3802,2- 8 Gleneagles Dr.Endeavour Hills.VIC.3802,-37.966261,145.263642,,,secc.org.au,,,49 650 744 395,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Spiritual Assembly of the Baha'is of Stirling,,Tuart Hill,WA,6060,.Tuart Hill.WA.6060,-31.8966012,115.8355193,,,,,,66 040 026 087,Active,Entity Name,25% ABN Accuracy
Religious Organisations,St Bartholomews House,Swan Unit,Midland,WA,6056,Swan Unit.Midland.WA.6056,-31.8918569,116.0134727,,,,,,92 491 228 162,Active,Entity Name,25% ABN Accuracy
Religious Organisations,St Brigid's Catholic Church,13 High St,Healesville,VIC,3777,13 High St.Healesville.VIC.3777,-37.6564368,145.5143964,,,www.stbrigidshealesville.cam.org.au/,,,99 374 070 760,Active,Entity Name,25% ABN Accuracy
Religious Organisations,St Columban's Mission Society Office,69 Woodland St,Essendon,VIC,3040,69 Woodland St.Essendon.VIC.3040,-37.7432131,144.9227742,,,www.columban.org.au,,,17 686 524 625,Active,Entity Name,25% ABN Accuracy
Religious Organisations,St Marks Community Centre,Cnr George and Moor Sts,Fitzroy,VIC,3065,Cnr George and Moor Sts.Fitzroy.VIC.3065,-37.8017189,144.9790365,,,,,,35 967 059 134,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Subud Melbourne,166-168 Elder St,Heatherton,VIC,3202,166-168 Elder St.Heatherton.VIC.3202,-37.9476241,145.1013334,,,,,,54 320 269 704,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Tasmanian Council Of Churches,35 Tower Rd,New Town,TAS,7008,35 Tower Rd.New Town.TAS.7008,-42.8516985,147.306732,,,,,,78 305 140 399,Active,Entity Name,25% ABN Accuracy
Religious Organisations,The Catholic Diocese of Broome,27 Robinson St,Broome,WA,6725,27 Robinson St.Broome.WA.6725,-17.960102,122.2377805,,,www.broomediocese.org/index.html,,,37 040 099 127,Active,Trading Name,25% ABN Accuracy
Religious Organisations,The Greek Orthodox Community Of SA,L 1 262-288 Franklin St,Adelaide,SA,5000,L 1 262-288 Franklin St.Adelaide.SA.5000,-34.9272745,138.5891371,,,http://www.gocsa.org.au,,,39 650 504 515,Active,Trading Name,25% ABN Accuracy
Religious Organisations,The Sufi Movement In Australia Inc,16 Petronella Ave,Wheelers Hill,VIC,3150,16 Petronella Ave.Wheelers Hill.VIC.3150,-37.9031427,145.1919855,,irenenuriadaly@iprimus.com.au,,,,65 200 668 712,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Theosophical Society,,suppressed,suppressed,,.suppressed.suppressed.,,,,,,,,76 487 580 644,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Tibetan Buddhist Society,1425 Mickleham Rd,Yuroke,VIC,3063,1425 Mickleham Rd.Yuroke.VIC.3063,-37.5946381,144.8804656,,contact@tushika.org,http://www.tibetanbuddhistsociety.org/,,,53 194 089 142,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Tribunal Of The Catholic Church,383 Albert St,East Melbourne,VIC,3002,383 Albert St.East Melbourne.VIC.3002,-37.8100705,144.9776771,,,,,,39 028 643 733,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Trinity North East,2-18 Golden Grove Rd,Modbury North,SA,5092,2-18 Golden Grove Rd.Modbury North.SA.5092,-34.8263298,138.6926785,,admin@trinitynortheast.org.au,http://www.trinitynortheast.org.au,,,46 556 124 243,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Truth & Liberation Concern (Christian Community Church),265 Canterbury Rd,Bayswater North,VIC,3153,265 Canterbury Rd.Bayswater North.VIC.3153,-37.8315445,145.2743551,,,,,,76 587 071 524,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Uniting Care Wesley Adelaide,Kuitpo Community Admnstrn and Rehabilitation,Hope Forest,SA,5172,Kuitpo Community Admnstrn and Rehabilitation.Hope Forest.SA.5172,-35.2795209,138.6212558,,,,,,33 174 490 373,Active,Other Name,25% ABN Accuracy
Religious Organisations,Victorian Council Of Christian Education,2A Chapel St,St Kilda,VIC,3182,2A Chapel St.St Kilda.VIC.3182,-37.858951,144.992994,,,,,,96 810 755 635,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Vietnamese Christian Community Incorporated,29 South Tce,Pooraka,SA,5095,29 South Tce.Pooraka.SA.5095,-34.8351979,138.6126578,,,,,,35 403 543 569,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Watchtower Bible & Tract Society,758 Nepean Hwy,Mt Martha,VIC,3934,758 Nepean Hwy.Mt Martha.VIC.3934,-38.2469992,145.0377535,,,,,,42 002 861 225,Active,Entity Name,25% ABN Accuracy
Religious Organisations,West City Christian Church,86-88 Central Ave,Altona Meadows,VIC,3028,86-88 Central Ave.Altona Meadows.VIC.3028,-37.8706321,144.7694552,,westcitychristianchurch@gmail.com,,,,29 995 453 295,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Woman's Christian Temperance Union,Unit 17 4 Ventnor Ave,West Perth,WA,6005,Unit 17 4 Ventnor Ave.West Perth.WA.6005,-31.9509363,115.837809,,,,,,37 470 458 235,Active,Entity Name,25% ABN Accuracy
Religious Organisations,World to Christ International,,McKinnon,VIC,3204,.McKinnon.VIC.3204,-37.9104488,145.0337951,,wtciaus@gmail.com,http://www.wtci.org.au,,,96 802 114 776,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Youth For Christ,60 Victoria St,Warragul,VIC,3820,60 Victoria St.Warragul.VIC.3820,-38.1596338,145.9302325,,,,,,75 034 537 271,Active,Entity Name,25% ABN Accuracy
Religious Organisations,CityLife Church,284 Thompsons Rd,Lower Templestowe,VIC,3107,284 Thompsons Rd.Lower Templestowe.VIC.3107,-37.7670778,145.1071093,,,,,,25 185 756 875,Cancelled,Trading Name,25% ABN Accuracy
Religious Organisations,Fruitful Vine Ministries,500 Kelletts Rd,Lysterfield,VIC,3156,500 Kelletts Rd.Lysterfield.VIC.3156,-37.92328,145.2819551,,,http://www.fruitfulvine.org,,,14 086 906 381,Cancelled,Entity Name,25% ABN Accuracy
Religious Organisations,Lutheran Church,8 Clarence St,Lameroo,SA,5302,8 Clarence St.Lameroo.SA.5302,-35.3264801,140.5137362,,,,,,74 195 858 811,Cancelled,Entity Name,25% ABN Accuracy
Religious Organisations,Mary MacKillop Centre,,Mt Eliza,VIC,3930,.Mt Eliza.VIC.3930,-38.1952209,145.0879338,,retreat.mteliza@sosj.org.au,,,,49 167 462 561,Cancelled,Entity Name,25% ABN Accuracy
Religious Organisations,Mission Interlink,44 Rutland Rd,Box Hill,VIC,3128,44 Rutland Rd.Box Hill.VIC.3128,-37.8203628,145.1265908,,,,,,16 270 803 390,Cancelled,Trading Name,25% ABN Accuracy
Religious Organisations,Mission Travel,605 Camberwell Rd,Camberwell,VIC,3124,605 Camberwell Rd.Camberwell.VIC.3124,-37.8472382,145.0751389,,,http://www.missiontravel.com.au/,,,91 534 867 393,Cancelled,Other Name,25% ABN Accuracy
