Name,Categories,Address,City,State,Postcode,Phone,Fax,Latitude,Longitude,Employees,Established,ABN_Status,ABN,ABN_Name,Accuracy,ABN_2,ACN
Vogue Denture Centre,Hospitals,325 Great Eastern Hwy,Redcliffe,WA,6104,(08) 9277 5671,,-31.9363,115.93562,,,,,,,,
Vincent K. Leung,Hospitals,,Fitzroy,VIC,3065,(03) 9419 4220,,-37.7987007,144.9786869,,,,,,,,
Townsville Denture Clinic,Hospitals,166 Charters Towers Rd,Hermit Park,QLD,4812,(07) 4725 3199,,-19.281287,146.798737,,,,,,,,
ToothKind Beerwah,Hospitals,62 Simpson St,Beerwah,QLD,4519,(07) 5494 0964,,-26.85793,152.95787,,,,,,,,
Thornlands Denture Clinic,Hospitals,235 Panorama Dr,Thornlands,QLD,4164,(07) 3206 4587,,-27.564359,153.251059,,,,,,,,
The Doreen Dental Clinic,Hospitals,River Stone Central Shopping Center Unit 5 121 Elation Bvd,Doreen,VIC,3754,(03) 8735 7359,,-37.615705,145.125455,,,,,,,,
Surfers International Dental Surgery,Hospitals,Surfers International - Ground Floor 9 Trickett St,Surfers Paradise,QLD,4217,,,-28.00375,153.43045,,,,,,,,
Summer Dental Hills,Hospitals,Summer Hill Shopping Shop 271 850 Plenty Rd,Reservoir,VIC,3073,(03) 9942 5651,,-37.72471,145.028703,,,,,,,,
Sorell Dental Clinic,Hospitals,Community Health Centre 57 Cole St,Sorell,TAS,7172,1300 011 013,,-42.779856,147.560156,,,,,,,,
Sideris Paul,Hospitals,Belmont Rd Shopping Village 185 Belmont Rd,Belmont,QLD,4153,(07) 3890 0254,,-27.48405,153.12614,,,,,,,,
Remote Dental Coober Pedy,Hospitals,Lot 18 Paxton Rd,Coober Pedy,SA,5723,(08) 8672 3096,,-29.013186,134.751753,,,,,,,,
PMD Dental Care,Hospitals,256 Bay St,Port Melbourne,VIC,3207,(03) 9646 5100,,-37.838163,144.943219,,,,,,,,
Perth Central Dental Centre,Hospitals,497 Wellington St,Perth,WA,6000,(08) 9222 5903,(08) 9486 9110,-31.952007,115.85823,21-50,2012,,,,,,
Perth Central Dental Centre,Hospitals,Cnr William and Wellington Street,Perth,WA,6000,(08) 9222 5900,,-31.95118,115.858119,,,,,,,,
Penola Dental Centre,Hospitals,32B Young St,Penola,SA,5277,(08) 8737 3766,,-37.378815,140.838066,,,,,,,,
Pagewood Dental Surgery,Hospitals,,,,,(02) 9349 2387,,,,,,,,,,,
Ormeau Smiles Dental Clinic,Hospitals,176 Pascoe Rd,Ormeau,QLD,4208,(07) 5549 2221,,-27.76404,153.245169,,,,,,,,
Nguyen Tammy Dr,Hospitals,127 Sydney Rd,Coburg,VIC,3058,(03) 9386 1805,,-37.751891,144.964756,,,,,,,,
Nedelkos Dean,Hospitals,25 Weeroo Pl,Stirling,WA,6021,0418 944 759,,-31.88152,115.81609,,,,,,,,
Nambour Hospital Dental Clinic,Hospitals,1 Hospital Rd,Nambour,QLD,4560,(07) 5470 6758,,-26.621514,152.952954,,,,,,,,
Keillor Raymond - Prosthetist,Hospitals,1409 Burke Rd,Kew East,VIC,3102,(03) 9859 8062,,-37.794014,145.063541,,,,,,,,
Joseph Tom Dr,Hospitals,Unit 3 Runaway Oasis 465 Oxley Dr,Runaway Bay,QLD,4216,(07) 5500 5966,,-27.92086,153.38746,,,,,,,,
iCare Dental Studio,Hospitals,26 Stud Rd,Dandenong,VIC,3175,(03) 9791 9688,,-37.983075,145.221517,,,,,,,,
Gold Coast Dental Surgery,Hospitals,122 Olsen Ave,Arundel,QLD,4214,(07) 5571 7878,,-27.944231,153.386043,,,,,,,,
Emergency Service Dulwich Hill,Hospitals,241 Wardell Rd,Dulwich Hill,NSW,2203,(02) 9559 4005,,-33.910462,151.141405,,,,,,,,
Emergency Dental Care,Hospitals,235 Marion Rd,Marleston,SA,5033,0412 220 298,,-34.946,138.55388,1-Oct,,,,,,73 214 097 301,
Eagleby Dental Pty Ltd,Hospitals,Shop 10/ 116-120 River Hills Rd,Eagleby,QLD,4207,(07) 3382 7500,,-27.701767,153.21062,,,,,,,,
Dr. Andre Collins (Dental Surgeon),Hospitals,137 Canterbury Rd,Toorak,VIC,3142,(03) 9571 9016,,-37.842391,145.010296,,,,,,,,
Dr Swann Lam & Associates,Hospitals,Cnr McKay Ct and Wantirna Rd,Ringwood,VIC,3134,(03) 9870 6312,,-37.829984,145.227159,,,,,,,,
Dr Stephen Dudgeon,Hospitals,5 1A Ormuz Ave,Caloundra,QLD,4551,(07) 5491 1536,,-26.803542,153.133276,,,,,,,,
Dr Sen Le,Hospitals,37 Kesteven St,Florey,ACT,2615,(02) 6258 0069,,-35.22556,149.05475,,,,,,,,
Dr Lesley Short Orthodontist,Hospitals,Shop 1 1 Lanyana Way,Noosa Heads,QLD,4567,(07) 5447 5040,,-26.399098,153.091415,,,,,,,,
Dr Annu Gill,Hospitals,51 Myrtle St,Bendigo,VIC,3550,(03) 4433 1053,,-36.765863,144.273166,,,,,,,,
Denture Express Repairs & Replacements,Hospitals,5/ 29 Yirrigan Dr,Mirrabooka,WA,6061,(08) 9344 4744,,-31.870621,115.858019,,,,,,,,
Dentistry By The Park,Hospitals,146 Jasper Rd,Bentleigh,VIC,3204,(03) 9557 3144,,-37.920591,145.041682,,,,,,,,
Dental Lounge,Hospitals,,,,,(02) 9247 8989,,,,,,,,,,,
Dental Implant Solutions,Hospitals,Level 1 Scarborough and Young Street Cnr,Southport,QLD,4215,(07) 5591 2661,,-27.96859,153.414474,,,,,,,,
Dental Design Denture Clinic,Hospitals,,,,,1800 666 610,,,,,,,,,,,
Dentacare,Hospitals,,,,,1800 810 217,,,,,1983,,,,,,
Chan F S Dr,Hospitals,31-35 Burgundy St,Heidelberg,VIC,3084,(03) 9457 5755,,-37.7568,145.06905,,,,,,,,
Casey Dental Group,Hospitals,236 Cranbourne Narre Warren Rd,Narre Warren,VIC,3805,(03) 8786 5582,,-38.052354,145.30281,,,,,,,,
Burgess Michael Dr.,Hospitals,,Narellan,NSW,2567,(02) 4647 1132,,-34.0403082,150.7352013,,,,,,,,
Bendigo Dentist Clinic,Hospitals,429 Hargreaves Stps,Bendigo,VIC,3550,1800 754 671,,-36.7632,144.276319,,,,,,,,
Aspley Dental Group,Hospitals,1344 Gympie Rd,Aspley,QLD,4034,(07) 3161 9623,,-27.364271,153.016176,,,,,,,,
Anna Puzio - ALL DENTAL,Hospitals,11 Myers Lane,Adelaide,SA,5000,0432 451 499,,-34.93399,138.59851,,,,,,,,
Amazing Smiles Bray Park,Hospitals,Shop 15/ 8 Sovereign Ave,Bray Park,QLD,4500,(07) 3205 9869,,-27.297831,152.976112,,,,,,,,
All Star Dental Laboratory,Hospitals,130 Nepean Hwy,Aspendale,VIC,3195,(03) 9587 2791,,-38.025855,145.10085,,,,,,,,
After Hours Dental Emergency Services,Hospitals,58 Oakes Rd,Carlingford,NSW,2118,(02) 9871 1564,,-33.760508,151.041962,,,,,,,,
Adelaide Dental Emergency Services,Hospitals,166 Anzac Hwy,Glandore,SA,5037,(08) 8351 6969,,-34.957069,138.566315,1-Oct,1996,,,,,20 273 785 298,
AA Dental Crisis,Hospitals,,Kenmore,QLD,4069,(07) 3862 1946,,-27.5072678,152.9400179,,,,,,,,
A 7 Day Accident & Emergency Dental,Hospitals,1/ 9 Seven Hills Rd,Baulkham Hills,NSW,2153,(02) 9639 4165,,-33.762411,150.991715,,,,,,,,
18004teethdentists,Hospitals,unit 2 70 Camooweal St,Mt Isa City,QLD,4825,(07) 4743 1777,,-20.727678,139.492857,1-Oct,2014,,,,,86 211 510 499,
Victorian Dermal Group,Hospitals,Level 2 Suite 205 Princess St,Kew,VIC,3101,(03) 9853 9264,,-37.810054,144.966786,,,Active,23 153 666 669,Business Name,50%,,
Star Dental Care,Hospitals,61 Lord St,Port Macquarie,NSW,2444,(02) 6583 6111,,-31.436197,152.917137,1-Oct,2004,Active,79 631 832 963,Business Name,50%,62 558 308 410,
Smile Council Orthodontics,Hospitals,16 Doncaster Rd,Balwyn North,VIC,3104,1300 733 077,,-37.79363,145.06484,,,Active,91 893 766 988,Trading Name,50%,,
Moama Dental Clinic,Hospitals,37B Meninya St,Moama,NSW,2731,(03) 5482 2722,,-36.112757,144.756018,,,Active,30 166 732 752,Business Name,50%,,
Lakes Dental,Hospitals,101 North Lake Rd,South Lake,WA,6164,(08) 9417 2829,,-32.111835,115.83895,,,Active,42 103 087 449,Other Name,50%,,
Hyde Park Dental,Hospitals,227 Cnr Elizabeth &amp; Bathurst St,Sydney,NSW,2000,(02) 9267 9526,,-33.874635,151.209725,,,Active,48 507 191 973,Business Name,50%,,
Grosvenor Place Dental Centre,Hospitals,"Exchange Courtyard, Grosvenor Place, 225 George St",Sydney,NSW,2000,(02) 9251 8889,,-33.863319,151.206691,,,Active,22 071 697 473,Trading Name,50%,,
Gentle Dental Care 7 Days,Hospitals,158 Remembrance Drwy,Tahmoor,NSW,2573,(02) 4681 8384,,-34.226634,150.591855,,,Active,70 116 316 495,Business Name,50%,,
Gentle Dental Care,Hospitals,31-35 Chamberlain St,Campbelltown,NSW,2560,(02) 4629 1900,,-34.062979,150.822038,,,Active,91 094 508 166,Business Name,50%,,
Gentle Dental Care,Hospitals,229 Macquarie St,Liverpool,NSW,2170,(02) 9602 3339,(02) 9620 3182,-33.923033,150.923248,21-50,,Active,91 094 508 166,Business Name,50%,,
First Impressions,Hospitals,8/ 157 Gladstone Rd,Rivervale,WA,6103,0419 440 188,,-31.966999,115.916491,,,Active,98 082 184 820,Other Name,50%,,
Dentures By Design,Hospitals,219A Main St,Osborne Park,WA,6017,(08) 9440 4699,,-31.89688,115.827857,,,Active,42 235 935 096,Business Name,50%,,
Denture Clinic,Hospitals,207 Drummond St South,Ballarat,VIC,3350,(03) 5331 5196,,-37.565349,143.846611,,,Active,44 112 886 487,Other Name,50%,,
Chatswood Dental,Hospitals,Suite 205 Lvl 2/7 Help St,Chatswood,NSW,2067,(02) 9411 6300,,-33.795558,151.180291,,1996,Active,92 124 730 874,Business Name,50%,,
Awesome Smiles Dental,Hospitals,40 Park St,Sydney,NSW,2000,(02) 8677 0853,,-33.872935,151.208615,,,Active,66 159 829 348,Business Name,50%,,
Ashmore Dental,Hospitals,Suite 1 115 Currumburra Rd,Ashmore,QLD,4214,(07) 5539 2944,,-27.987292,153.382341,,,Active,63 776 869 715,Trading Name,50%,,
A-AABACUS Dental Emergency Service,Hospitals,,Ryde,NSW,2112,(02) 9418 6549,,-33.8135042,151.1057327,1-Oct,,Active,30 732 705 915,Business Name,50%,30 732 705 915,
Woodford Dental,Hospitals,117 Archer St,Woodford,QLD,4514,(07) 5422 9380,,-26.955174,152.778712,,,Active,19 207 040 031,Business Name,75%,,
Ocean Reef Dental Surgery,Hospitals,Unit 2/ 64 Marina Bvd,Ocean Reef,WA,6027,(08) 6206 4000,,-31.765711,115.742226,1-Oct,,Active,18 295 437 335,Trading Name,75%,18 295 437 335,
Monash Health,Hospitals,55 Buckingham Ave,Springvale,VIC,3171,(03) 8558 9165,,-37.952974,145.15118,,,Active,82 142 080 338,Entity Name,75%,,
Jansz Dental,Hospitals,,BRISBANE,QLD,4000,,,-27.47002735,153.0229763,1-Oct,1996,Active,98 074 027 768,Business Name,75%,98 074 027 768,
Gentle Dental Care 7 Days,Hospitals,Stockland Shop 208 561-583 Polding St,Prairiewood,NSW,2176,(02) 9604 6611,,-33.858692,150.898743,,,Active,70 116 316 495,Business Name,75%,,
Gateway Dental,Hospitals,Gateway Building/ Suite 15/ Andrea Lane Lane,Booragoon,WA,6154,(08) 9316 2811,,-32.03515473,115.8338917,,,Active,73 619 289 799,Business Name,75%,,
Clarkson North Dental Care,Hospitals,Unit 14/ 30 Ainsbury Parade,Clarkson,WA,6030,(08) 9304 6624,(08) 9304 6515,-31.67924,115.71753,,,Active,16 037 075 319,Business Name,75%,16 037 075 319,
Brighter Smiles Dapto Dental,Hospitals,54 Baan Baan St,Dapto,NSW,2530,(02) 4261 5264,,-34.49289,150.796154,Nov-20,,Active,57 167 430 866,Business Name,75%,,
Aim Dental Group,Hospitals,391 Oxford St,Mt Hawthorn,WA,6016,(08) 9444 1035,,-31.9238,115.840873,,,Active,91 613 227 295,Business Name,75%,,
Accessible All Hours Dental Service,Hospitals,,Chatswood,NSW,2067,(02) 9411 8053,,-33.7960783,151.1830913,,,Active,30 732 705 915,Business Name,75%,,
About Smiles,Hospitals,63A Archer St,Chatswood,NSW,2067,(02) 9415 3555,,-33.796555,151.186237,,,Active,99 837 712 433,Business Name,75%,,
A-AABACUS Dental Emergency Service,Hospitals,,Wahroonga,NSW,2076,(02) 9418 6549,,-33.718331,151.1168301,1-Oct,,Active,30 732 705 915,Business Name,75%,30 732 705 915,
A-AABACUS Dental Emergency Service,Hospitals,,Gordon,NSW,2072,(02) 9418 6549,,-33.7555157,151.1521331,1-Oct,,Active,30 732 705 915,Business Name,75%,30 732 705 915,
A-AABACUS Dental Emergency Service,Hospitals,,Chatswood,NSW,2067,(02) 9418 6549,,-33.7960783,151.1830913,1-Oct,,Active,30 732 705 915,Business Name,75%,30 732 705 915,
Tigris Medical Dental Centre,Hospitals,,Liverpool,NSW,2170,(02) 8776 1000,,-33.9200192,150.9241267,,,Active,21 122 238 126,Business Name,100%,,
Thornbury Smiles,Hospitals,412 Station St,Thornbury,VIC,3071,(03) 9480 5550,,-37.75876,145.02146,,,Active,26 862 995 995,Trading Name,100%,,
The Family Dental Caboolture,Hospitals,8-22 King St,Caboolture,QLD,4510,(07) 5428 2277,,-27.085427,152.953353,,,Active,28 388 050 258,Business Name,100%,,
Smilefast Pty Ltd,Hospitals,875 Glenhuntly Rd,Caulfield,VIC,3162,1300 447 448,,-37.886927,145.025574,,,Active,68 131 549 730,Entity Name,100%,,
Project Outback Dental,Hospitals,49 Althaus Parade,Yabulu,QLD,4818,(07) 4778 6387,,-19.188784,146.578584,,,Active,44 805 959 953,Business Name,100%,,
Plumpton Marketplace Dental Centre,Hospitals,Plumpton Marketplace Shopng Cntr Cnr Jersey and Hyatts Road,Plumpton,NSW,2761,(02) 9625 3432,,-33.74532,150.835737,,,Active,48 087 317 619,Business Name,100%,,
Parkview Dental,Hospitals,20 Commercial Rd,Melbourne,VIC,3004,(03) 9867 1818,,-37.84499,144.979797,,,Active,44 129 490 624,Business Name,100%,,
Oatlands Dental,Hospitals,"42 Belmore Street E, Oatlands",Oatlands,NSW,2117,(02) 9630 6333,,-33.797466,151.026086,,,Active,18 603 278 137,Business Name,100%,,
Nitin Patel,Hospitals,25 Pearson St,Charlestown,NSW,2290,(02) 4943 3366,,-32.962889,151.695646,,,Active,85 194 053 494,Entity Name,100%,,
Night & Day Family Dental Practice,Hospitals,902 King Georges Rd,South Hurstville,NSW,2221,(02) 9547 2367,,-33.97996,151.10747,,,Active,94 937 505 857,Business Name,100%,,
Minchinbury No Gap Dental,Hospitals,"Shop 17 Minchinbury Shopping Centre, Minchin Drive",Minchinbury,NSW,2770,(02) 9832 2822,,-33.787749,150.834998,,,Active,75 062 223 465,Business Name,100%,,
Millennium Dental Care,Hospitals,"Street Level, 24 Spit Rd",Mosman,NSW,2088,(02) 9969 5572,,-33.82397,151.24112,,,Active,73 742 217 922,Business Name,100%,,
MGA Dental,Hospitals,Cnr Pinelands &amp; Seeana Street 202 Pinelands Rd,Sunnybank Hills,QLD,4109,(07) 3273 3343,,-27.602822,153.056708,1-Oct,2002,Active,38 936 103 949,Trading Name,100%,64 614 868 466,
Margaret River Dental Services,Hospitals,79 Town View Tce,Margaret River,WA,6285,(08) 9757 2010,,-33.953305,115.075273,,,Active,90 502 544 268,Trading Name,100%,,
Manning Valley Dental,Hospitals,1 Manning St,Taree,NSW,2430,(02) 6552 1026,,-31.913344,152.462512,1-Oct,,Active,34 792 415 369,Business Name,100%,34 792 415 369,
Kenmore Dentists,Hospitals,Shop 1/ 4 Wongabel St,Kenmore,QLD,4069,(07) 3378 6297,,-27.508976,152.94805,,,Active,56 136 416 156,Business Name,100%,,
Kapovich Dental Laboratory Pty Ltd,Hospitals,147 Spencer St,South Bunbury,WA,6230,(08) 9721 6584,,-33.339402,115.640631,,,Active,80 071 926 942,Entity Name,100%,,
Jansz Dental,Hospitals,6/699 Sherwood Rd,Sherwood,QLD,4075,(07) 3379 3853,,-27.53174,152.98061,1-Oct,1996,Active,98 074 027 768,Business Name,100%,98 074 027 768,
Helena Street Dental Clinic,Hospitals,2/42 Victoria St,Midland,WA,6056,(08) 9250 3100,(08) 9250 5892,-31.89112,116.00326,1-Oct,1980,Active,72 693 934 973,Business Name,100%,,
Foothills Denture Clinic,Hospitals,4/ 16 The Avenue,Midland,WA,6056,(08) 9250 1733,,-31.88842,116.00757,,,Active,81 009 044 562,Business Name,100%,,
Eltham Family Dental,Hospitals,Level 1 Suite 1 23 Dudley St,Eltham,VIC,3095,(03) 9439 6517,,-37.715515,145.150006,1-Oct,1988,Active,16 632 147 112,Business Name,100%,16 632 147 112,
Dentist at Care,Hospitals,Suite 9 2 Redleaf Ave,Wahroonga,NSW,2076,(02) 9989 8966,,-33.71872,151.1177,,,Active,21 870 351 141,Business Name,100%,,
