Name,Categories,Address,City,State,Postcode,Phone,Website,Email,Fax,Latitude,Longitude,Employees,Established,Licence_No,ABN_Status,ABN,ABN_Name,Accuracy,ABN_2,ACN
Hire Direct,Sports & Fitness,,Moe,VIC,3825,1300 550 866,www.hiredirect.com.au ,sales@hiredirect.com.au,,-38.1747552,146.2626215,,,Treadmills,Active,83 106 644 786,Entity Name,25%,,
Health Trek,Sports & Fitness,6 Park Rd,Oakleigh,VIC,3166,1300 888 286,,,,-37.894221,145.096246,,,,Active,51 364 619 469,Business Name,25%,,
GYMWORKS,Sports & Fitness,13 Commerce Cct,Yatala,QLD,4207,1300 496 967,http://www.gymworks.com.au ,ben@gymworks.com.au,,-27.744796,153.220287,,,,Active,31 109 082 162,Entity Name,25%,,
Goodlife Health Club,Sports & Fitness,197 Karingal Dr,Frankston,VIC,3199,(03) 9770 7111,http://www.goodlifehealthclubs.com.au/Clubs/VIC/Karingal/Personal-Trainers ,fdkaringal@goodlifehealthclubs.com.au,,-38.151142,145.165807,,,,Active,59 120 953 200,Business Name,25%,,
Fleet Fitness Equipment Hire and Sales,Sports & Fitness,Unit 1 8 Cressall Rd,Balcatta,WA,6021,(08) 9240 2356,www.fleetfitness.com.au ,sales@fleetfitness.com.au,,-31.86328,115.81165,Nov-20,1992,,Active,11 735 382 879,Business Name,25%,11 735 382 879,056 095 802
Fitness Systems,Sports & Fitness,Unit 2 103-105 Wollongong St,Fyshwick,ACT,2609,1300 395 185,,,,-35.323483,149.176719,,,,Active,52 531 603 005,Business Name,25%,,
Fight World,Sports & Fitness,3/ 138 Siganto Dr,Helensvale,QLD,4212,(07) 5573 3250,fightworld.com.au ,info@fightworld.com.au,,-27.893977,153.315419,,,,Active,47 634 867 986,Entity Name,25%,,
F.E.S. Fitness Equipment Services,Sports & Fitness,3c 29 Spine St,Sumner,QLD,4074,0404 485 614,Visit our Website ,aaron@f-e-s.com.au,,-27.564779,152.937833,,,,Active,61 071 358 749,Trading Name,25%,,
Elite Fitness Equipment,Sports & Fitness,B 3/488 Scarborough Beach Road,Osborne Park,WA,6017,(08) 9244 1433,https://elitefitnessperth.com.au/ ,"osbornepark@elitefitness.com.au,sales@elitefitnessperth.com.au",,-31.903976,115.8055,,1985,,Active,47 618 779 329,Business Name,25%,,
Elite Fitness Equipment,Sports & Fitness,1774 Sandgate Rd,Virginia,QLD,4014,(07) 3865 2344,www.elitefitness.com.au ,virginia@elitefitness.com.au,,-27.377552,153.062125,1-Oct,1986,,Active,47 618 779 329,Business Name,25%,30 127 033 809,127 033 809
Elite Fitness Equipment,Sports & Fitness,unit 8 44-56 Hampstead Rd,Maidstone,VIC,3012,(03) 9317 0881,,,,-37.778917,144.876319,,,,Active,47 618 779 329,Business Name,25%,,
Dynamo Fitness,Sports & Fitness,2/66 Kent Way,Malaga,WA,6090,(08) 9249 5936,http://www.dynamofitness.com.au ,contact@dynamofitness.com.au,,-31.85451,115.878194,,,,Active,84 596 192 851,Business Name,25%,,
Concept2,Sports & Fitness,2 /5 Taree St,Burleigh Heads,QLD,4220,(03) 5221 3655,https://www.concept2.com.au/ ,"sales@sykes.com.au,info@concept2.com.au",,-28.102343,153.422104,,,,Active,45 634 541 834,Entity Name,25%,,
Colby Fitness,Sports & Fitness,Shed 20 662 Stuart Hwy,Berrimah,NT,828,(08) 8947 2464,www.colbyfitness.com.au ,sales@colbyfitness.com.au,,-12.43342,130.920408,,,,Active,71 153 080 785,Entity Name,25%,,
Cardiotech Garden City,Sports & Fitness,Indooroopilly Shopng Cntr Kiosk 207/ Moggill Rd,Indooroopilly,QLD,4068,(07) 3878 9623,,,,-27.500036,152.967049,,,,Active,57 142 876 170,Trading Name,25%,,
Brisbane Boxing Bulimba,Sports & Fitness,30 Love St,Bulimba,QLD,4171,0402 767 764,http://www.brisbaneboxing.com.au ,info@brisbaneboxing.com.au,,-27.452299,153.055531,,,,Active,53 169 010 548,Entity Name,25%,,
BodyTastic,Sports & Fitness,Building 1 34 Nedland Dr,Vermont,VIC,3133,(03) 9873 8000,,,,-37.832564,145.189852,,,,Active,32 096 108 413,Entity Name,25%,,
Australian Barbell Co,Sports & Fitness,52-54 Bond St West,Mordialloc,VIC,3195,(03) 9580 5945,,,,-37.991866,145.100527,,,,Active,29 004 420 848,Business Name,25%,,
Aussie Supplements,Sports & Fitness,Shop 45 Dawson Hwy,Gladstone,QLD,4680,(07) 4972 9508,,jamee@aussiesupplements.com.au,,-23.867828,151.240941,,,,Active,82 849 690 728,Trading Name,25%,,
Aussie Fit Sport Science,Sports & Fitness,3 Vantage Point Dr,Burleigh Heads,QLD,4220,(07) 5576 3688,,,,-28.101453,153.449449,,,,Active,63 103 987 097,Entity Name,25%,,
Amber Leisure,Sports & Fitness,,Maroubra Junction,NSW,2035,0417 449 835,,,,-33.9420292,151.2383355,,,,Active,17 923 921 763,Trading Name,25%,,
Alpha Gym,Sports & Fitness,2958 Logan Rd,Underwood,QLD,4119,0490 342 088,,enquiries@alphagym.com,,-27.610705,153.11622,,,,Active,97 237 701 408,Business Name,25%,,
Allied Fitness Australia,Sports & Fitness,2 175 Stephen St,Yarraville,VIC,3013,0450 337 299,,,,-37.821058,144.895832,,,,Active,85 616 326 339,Entity Name,25%,,
Victorious Fitness Supplements,Sports & Fitness,Shop 7 Aspley Arcade Two 1368 Gympie Road,Aspley,QLD,4034,(07) 3863 3056,www.vfsupplements.com.au ,"aspley@vfsupplements.com.au,info@vfsupplements.com.au",,-27.362874,153.016358,,,,Active,40 170 759 215,Trading Name,50%,,
Verve Fitness,Sports & Fitness,5 Brendan Dr,Nerang,QLD,4211,(07) 5641 4325,https://www.vervefitness.com.au/ ,team@vervefitness.com.au,,-27.998698,153.340926,,,,Active,16 925 456 778,Trading Name,50%,,
Sportspower,Sports & Fitness,Shop 10 Richardson Pl,Roxby Downs,SA,5725,(08) 8642 4358,http://www.sportspower.com.au ,"portaugusta@sportspower.com.au,docklands@sportspower.com.au",,-30.561808,136.896815,,1978,,Active,42 004 520 030,Business Name,50%,,
SportsPower,Sports & Fitness,"43 Ocean Street, Shop 12, Victor Central Shopping Centre",Victor Harbor,SA,5211,(08) 8552 1266,https://www.sportspower.com.au/ ,docklands@sportspower.com.au,,-35.554097,138.622737,,,,Active,82 876 379 143,Trading Name,50%,,
Sportspower,Sports & Fitness,Shop 9 Fairfield Gardens 180 Fairfield Rd,Fairfield,QLD,4103,(07) 3255 1533,http://www.sportfirst.com.au ,"fairfieldqld@sportfirst.com.au,info@sportfirst.com.au",,-27.50912,153.02597,,,,Active,93 840 055 471,Trading Name,50%,,
Sportspower,Sports & Fitness,146 Byron St,Inverell,NSW,2360,(02) 6722 2798,,,,-29.774792,151.112704,,,,Active,93 840 055 471,Trading Name,50%,,
Sportsmans Warehouse,Sports & Fitness,487 Peel St,Tamworth,NSW,2340,(02) 6701 9124,www.sw.com.au ,"test@test.com,info@sw.com.au",,-31.094076,150.932306,1-Oct,1983,,Active,24 008 538 083,Other Name,50%,,
Southern Workout Store,Sports & Fitness,126 Sherriffs Rd,Morphett Vale,SA,5162,(08) 8326 6330,www.southernworkoutstore.com.au ,sales@southernworkoutstore.com.au,,-35.105773,138.524483,1-Oct,1989,We Look After Our Customers After The Sale Is Done,Active,65 463 818 175,Trading Name,50%,65 463 818 175,
Prime Fitness Hire And Sales,Sports & Fitness,39- 41 Mercer St,Geelong,VIC,3220,(03) 5222 8002,,,,-38.14004,144.35539,,,,Active,33 635 857 468,Business Name,50%,,
Only Fitness,Sports & Fitness,575 Ruthven St,Toowoomba,QLD,4350,(07) 4632 4004,,,,-27.56582,151.95219,,,,Active,34 003 649 330,Trading Name,50%,,
Only Fitness,Sports & Fitness,520 Old Cleveland Rd,Camp Hill,QLD,4152,0417 077 555,,,,-27.49101,153.07047,,,,Active,34 003 649 330,Trading Name,50%,,
Lockeroom Health,Sports & Fitness,8 Bailey St,West End,QLD,4101,(07) 3844 1554,https://www.lockeroomhealth.com/ ,info@lockeroomsports.com,,-27.483737,153.002069,,,,Active,31 100 518 447,Business Name,50%,,
Just Fitness,Sports & Fitness,Shops 5-6 424 Nepean Hwy,Frankston,VIC,3199,(03) 9781 1311,www.justfitness.com.au ,,,-38.140604,145.122115,,,,Active,72 286 183 289,Trading Name,50%,,
Integrity Strength Systems,Sports & Fitness,,Perth,WA,6000,1300 666 058,,,,-31.95285358,115.8573142,,,,Active,47 101 125 571,Business Name,50%,,
Integrity Strength Systems,Sports & Fitness,,Adelaide,SA,5000,1300 666 058,,,,-34.92717091,138.5995409,,,,Active,47 101 125 571,Business Name,50%,,
Health & Leisure,Sports & Fitness,125 Murray St,Hobart,TAS,7000,(03) 6234 5796,https://health-and-leisure-hobart.myshopify.com/ ,"admin@healthandleisure.com.au,sales@healthandleisure.com.au",,-42.881255,147.323448,,,,Active,75 100 963 335,Business Name,50%,,
GYMFIX,Sports & Fitness,,Bli Bli,QLD,4560,0427 227 956,,,,-26.6218605,153.0430945,,,,Active,71 002 594 195,Trading Name,50%,,
Fitness Choice,Sports & Fitness,1 Waverley Rd,Malvern East,VIC,3145,(03) 9572 2280,,,,-37.875061,145.042775,,,,Active,30 632 467 524,Trading Name,50%,,
Elite Fitness,Sports & Fitness,60 Reserve Dr,Mandurah,WA,6210,(08) 9581 8867,,,,-32.51289,115.741015,,,,Active,53 112 876 301,Trading Name,50%,,
